"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 09:31:46 GMT 2025","Tue Oct 07 09:32:12 GMT 2025","26878","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"passed","Tue Oct 07 09:22:00 GMT 2025","Tue Oct 07 09:22:45 GMT 2025","45522","projekt_zaliczeniowy.tests.testy_koszyka","test_usuwanie_z_koszyka","","","","test_remove_product_to_cart",""
"broken","Tue Oct 07 09:24:03 GMT 2025","Tue Oct 07 09:25:12 GMT 2025","69126","projekt_zaliczeniowy.tests.testy_logowania","test_bledne_haslo","","","","test_wrong_password",""
"broken","Tue Oct 07 09:25:13 GMT 2025","Tue Oct 07 09:26:15 GMT 2025","62780","projekt_zaliczeniowy.tests.testy_logowania","test_bledny_adres_email","","","","test_wrong_email",""
"passed","Tue Oct 07 09:30:21 GMT 2025","Tue Oct 07 09:30:49 GMT 2025","27746","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_nowości","","","","test_newest",""
"passed","Tue Oct 07 09:32:13 GMT 2025","Tue Oct 07 09:32:40 GMT 2025","26913","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_nowości","","","","test_newest",""
"passed","Tue Oct 07 09:30:49 GMT 2025","Tue Oct 07 09:31:17 GMT 2025","27964","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Tue Oct 07 09:33:08 GMT 2025","Tue Oct 07 09:33:56 GMT 2025","48152","projekt_zaliczeniowy.tests.testy_wylogowania","test_wylogowanie","","","","test_logout",""
"broken","Tue Oct 07 09:22:45 GMT 2025","Tue Oct 07 09:23:56 GMT 2025","70539","projekt_zaliczeniowy.tests.testy_koszyka","test_zmiana_ilości_w_koszyku","","","","test_product_quantity_change",""
"passed","Tue Oct 07 09:21:08 GMT 2025","Tue Oct 07 09:21:08 GMT 2025","508","projekt_zaliczeniowy.tests.api","test_user","","","","test_user_failure",""
"passed","Tue Oct 07 09:32:40 GMT 2025","Tue Oct 07 09:33:07 GMT 2025","27258","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_popularności","","","","test_most_popular",""
"broken","Tue Oct 07 09:26:16 GMT 2025","Tue Oct 07 09:27:18 GMT 2025","62233","projekt_zaliczeniowy.tests.testy_logowania","test_brak_adresu_email","","","","test_without_email",""
"passed","Tue Oct 07 09:21:08 GMT 2025","Tue Oct 07 09:22:00 GMT 2025","51865","projekt_zaliczeniowy.tests.testy_koszyka","test_dodawania_do_koszyka","","","","test_add_product_to_cart",""
"passed","Tue Oct 07 09:29:21 GMT 2025","Tue Oct 07 09:29:51 GMT 2025","30003","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"failed","Tue Oct 07 09:21:07 GMT 2025","Tue Oct 07 09:21:08 GMT 2025","563","projekt_zaliczeniowy.tests.api","test_products","","","","test_products_failure",""
"passed","Tue Oct 07 09:31:18 GMT 2025","Tue Oct 07 09:31:45 GMT 2025","27624","projekt_zaliczeniowy.tests.testy_sortowania","test_sortowanie_po_najniższej_cenie","","","","test_lowest_price",""
"broken","Tue Oct 07 09:27:19 GMT 2025","Tue Oct 07 09:28:22 GMT 2025","63670","projekt_zaliczeniowy.tests.testy_logowania","test_brak_hasla","","","","test_without_password",""
"passed","Tue Oct 07 09:29:52 GMT 2025","Tue Oct 07 09:30:20 GMT 2025","28272","projekt_zaliczeniowy.tests.testy_sortowania.mobile","test_mobile_sortowanie_po_najwyższej_cenie","","","","test_highest_price",""
"broken","Tue Oct 07 09:28:23 GMT 2025","Tue Oct 07 09:29:21 GMT 2025","58221","projekt_zaliczeniowy.tests.testy_logowania","test_poprawne_dane","","","","test_correct",""
